Sr No,Company Name,NSE/BSE Ticker,Exchange Index,SME Type,Sector,Industry,Theme,Loan Taken,Estimated Total Debt (Cr),Estimated Market Cap (Cr),Data Source,Note
15,Vinsys IT Services,VINSYS,BSE SME,BSE SME,Technology,IT Training,EdTech IT,No,0.0,42,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
16,Emcure Pharmaceuticals,EMCURE,NSE Emerge,NSE Emerge,Healthcare,Pharma,Branded Generics,Yes,1850.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
17,Yatharth Hospital & Trauma Care,YATHARTH,NSE Emerge,NSE Emerge,Healthcare,Hospital,Healthcare Services,Yes,210.5,1400,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
18,Veeda Clinical Research,VEEDA,NSE Emerge,NSE Emerge,Healthcare,CRO,Clinical Research,Yes,58.3,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
19,Innova Captab,INNOVACAP,NSE Emerge,NSE Emerge,Healthcare,CDMO,Contract Pharma,Yes,145.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
20,Sai MedTech,SAIMEDTECH,BSE SME,BSE SME,Healthcare,Medical Devices,Medtech,Yes,18.5,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
21,Pharmaids Pharmaceuticals,PHARMAIDS,BSE SME,BSE SME,Healthcare,Generics,Generic Drugs,Yes,9.2,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
22,Medi Assist Healthcare,MEDIASSIST,NSE Emerge,NSE Emerge,Healthcare,TPA/Insurance,Health Insurance,Yes,35.0,1100,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
23,Benchmark Dental Products,BENCHMARK,BSE SME,BSE SME,Healthcare,Dental,Dental Products,Yes,6.4,90,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
24,Orion Biotech Opportunities,ORIONBIO,BSE SME,BSE SME,Healthcare,Biotech,Life Sciences,Yes,22.0,145,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
25,Tatva Chintan Pharma Chem,TATVA,NSE Emerge,NSE Emerge,Healthcare,Specialty Chemicals,Pharma Chem,Yes,28.5,1600,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
26,Curefoods,CUREFOODS,BSE SME,BSE SME,Healthcare,Nutraceuticals,Health Food,Yes,15.0,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
27,Vridhi Finserv Capital,VRIDHI,BSE SME,BSE SME,Healthcare,Healthcare Finance,NBFC Health,Yes,45.0,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
28,Santhosh Laboratories,SANTHOSHL,BSE SME,BSE SME,Healthcare,API Manufacturing,Active Pharma,Yes,30.5,155,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
29,Suraksha Diagnostic,SURAKSHA,NSE Emerge,NSE Emerge,Healthcare,Diagnostics,Pathology,Yes,88.0,600,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
30,Lifeline Drugs,LIFELINE,BSE SME,BSE SME,Healthcare,Generics,Drugs,Yes,7.8,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
31,Globela Pharma,GLOBELA,BSE SME,BSE SME,Healthcare,Pharma,Formulations,Yes,11.0,72,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
32,Abans Holdings,ABANS,NSE Emerge,NSE Emerge,Financials,Broking & NBFC,Capital Markets,Yes,520.0,2100,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
33,Muthoottu Mini Financiers,MUTHOOTM,NSE Emerge,NSE Emerge,Financials,Gold Loan NBFC,Gold Finance,Yes,3200.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
34,Aptus Value Housing Finance,APTUS,NSE Emerge,NSE Emerge,Financials,HFC,Affordable Housing Fin,Yes,5800.0,7500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
35,Jana Small Finance Bank,JANA,NSE Emerge,NSE Emerge,Financials,Small Finance Bank,Inclusive Banking,Yes,15000.0,3500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
36,Creditaccess Grameen,CREDITACC,NSE Emerge,NSE Emerge,Financials,Microfinance,Rural Credit,Yes,12500.0,9000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
37,Fusion Finance,FUSION,NSE Emerge,NSE Emerge,Financials,Microfinance,Women Empowerment,Yes,8500.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
38,Edelweiss Financial,EDELWEISS,NSE Emerge,NSE Emerge,Financials,Diversified Finance,Wealth & Credit,Yes,22000.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
39,Capital SFB,CAPITALSFB,NSE Emerge,NSE Emerge,Financials,Small Finance Bank,SME Banking,Yes,8000.0,2200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
40,Vridhi Fincorp,VRIDHI2,BSE SME,BSE SME,Financials,NBFC,Asset Finance,Yes,180.0,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
41,Equitas Holdings,EQUITAS,NSE Emerge,NSE Emerge,Financials,Small Finance Bank,Vehicle Finance,Yes,12000.0,5400,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
42,Samasta Microfinance,SAMASTA,BSE SME,BSE SME,Financials,Microfinance,JLG Loans,Yes,2200.0,450,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
43,Suryoday Small Finance,SURYODAY,NSE Emerge,NSE Emerge,Financials,Small Finance Bank,Inclusive Finance,Yes,4500.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
44,Arman Financial Services,ARMANFIN,NSE Emerge,NSE Emerge,Financials,NBFC,Micro & 2W Finance,Yes,800.0,750,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
45,Satin Creditcare Network,SATIN,NSE Emerge,NSE Emerge,Financials,Microfinance,Rural Lending,Yes,4800.0,900,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
46,Dvara KGFS,DVARA,BSE SME,BSE SME,Financials,Microfinance,Financial Inclusion,Yes,950.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
47,Azad Engineering,AZAD,NSE Emerge,NSE Emerge,Industrials,Precision Engineering,Aerospace & Defense,Yes,185.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
48,Harsha Engineers International,HARSHA,NSE Emerge,NSE Emerge,Industrials,Bearings Cages,Auto Ancillary,Yes,345.0,1900,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
49,Bondada Engineering,BONDADA,NSE Emerge,NSE Emerge,Industrials,EPC Projects,Infrastructure EPC,Yes,120.5,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
50,Rajputana Industries,RAJPUTANA,BSE SME,BSE SME,Industrials,Steel Fabrication,Metal,Yes,28.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
51,Synergy Green Industries,SYNERGYGR,BSE SME,BSE SME,Industrials,Wind Energy Components,Renewable Mfg,Yes,55.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
52,Vision Infra Equipment Solutions,VISIONINFR,BSE SME,BSE SME,Industrials,Equipment Rental,Infrastructure Rental,Yes,85.0,175,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
53,PLG Power,PLGPOWER,BSE SME,BSE SME,Industrials,Power Equipment,Electrical Equipment,Yes,32.0,145,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
54,Concord Control Systems,CONCORD,BSE SME,BSE SME,Industrials,Industrial Automation,Factory Automation,Yes,18.5,92,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
55,Gensol Engineering,GENSOL,NSE Emerge,NSE Emerge,Industrials,Solar EPC & EV,Clean Energy,Yes,680.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
56,Krsnaa Diagnostics,KRSNAA,NSE Emerge,NSE Emerge,Industrials,PPP Diagnostics,Public Health,Yes,95.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
57,Salasar Techno Engineering,SALASAR,NSE Emerge,NSE Emerge,Industrials,Steel Structures,Telecom Infra,Yes,145.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
58,PG Electroplast,PGEL,NSE Emerge,NSE Emerge,Industrials,EMS/ODM,Consumer Electronics Mfg,Yes,285.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
59,SEPC Limited,SEPC,NSE Emerge,NSE Emerge,Industrials,EPC,Power & Water,Yes,450.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
60,Technocraft Industries,TECHNOCRAFT,NSE Emerge,NSE Emerge,Industrials,Scaffolding & Yarn,Diversified Mfg,Yes,380.0,2100,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
61,Pennar Industries,PENNAR,NSE Emerge,NSE Emerge,Industrials,Steel Products,Engineering Products,Yes,820.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
62,Shakti Pumps,SHAKTIPUMP,NSE Emerge,NSE Emerge,Industrials,Pumps,Water Infrastructure,Yes,245.0,1600,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
63,Precision Camshafts,PRECAM,NSE Emerge,NSE Emerge,Industrials,Auto Components,Camshaft Mfg,Yes,320.0,900,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
64,KPI Green Energy,KPIGREEN,NSE Emerge,NSE Emerge,Industrials,Solar IPP,Green Energy,Yes,580.0,2200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
65,Shyam Metalics,SHYAMMET,NSE Emerge,NSE Emerge,Industrials,Steel,Long Products Steel,Yes,1850.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
66,Utkarsh Small Finance,UTKARSHSFB,NSE Emerge,NSE Emerge,Financials,Small Finance Bank,Rural Banking,Yes,9500.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
67,Signature Global India,SIGNATURE,NSE Emerge,NSE Emerge,Real Estate,Affordable Housing,Residential RE,Yes,1850.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
68,Indiqube Spaces,INDIQUBE,NSE Emerge,NSE Emerge,Real Estate,Managed Office,Flex Workspace,Yes,380.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
69,Suratwwala Business Group,SURATB,BSE SME,BSE SME,Real Estate,Commercial RE,Office Leasing,Yes,210.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
70,Rishi Laser,RISHILASER,BSE SME,BSE SME,Real Estate,Industrial RE,Industrial Parks,Yes,45.0,185,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
71,Mahindra Lifespace Dev,MAHLIFE,NSE Emerge,NSE Emerge,Real Estate,Housing,Integrated Cities,Yes,850.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
72,Keystone Realtors,KEYSTONE,NSE Emerge,NSE Emerge,Real Estate,Luxury Housing,Premium RE,Yes,620.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
73,Landmark Cars,LANDMARK,NSE Emerge,NSE Emerge,Real Estate,Auto Dealership,Luxury Auto RE,Yes,420.0,1500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
74,Vishal Fabrics,VISHALFL,BSE SME,BSE SME,Real Estate,Textile Park,Industrial RE,Yes,55.0,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
75,Arkade Developers,ARKADE,BSE SME,BSE SME,Real Estate,Residential,Housing Mumbai,Yes,280.0,450,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
76,Sai Silks,SAISILKS,NSE Emerge,NSE Emerge,Real Estate,Retail RE,Saree Retail,Yes,95.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
77,Shriram Properties,SHRIRAMPPS,NSE Emerge,NSE Emerge,Real Estate,Affordable Housing,South India RE,Yes,1200.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
78,Kolte-Patil Developers,KOLTEPATIL,NSE Emerge,NSE Emerge,Real Estate,Residential,Pune RE,Yes,980.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
79,Suraj Estate Developers,SURAJ,BSE SME,BSE SME,Real Estate,RE Development,Urban RE,Yes,380.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
80,Eldeco Housing,ELDECO,BSE SME,BSE SME,Real Estate,Housing,North India RE,Yes,145.0,320,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
81,Ganesh Housing,GANESHHOUC,NSE Emerge,NSE Emerge,Real Estate,Residential,Ahmedabad RE,Yes,285.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
82,Deep Industries,DEEPINDS,NSE Emerge,NSE Emerge,Energy,Oil & Gas Services,O&G Infra,Yes,285.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
83,Waaree Renewable Technologies,WAAREENR,NSE Emerge,NSE Emerge,Energy,Solar EPC,Solar Energy,Yes,245.0,2200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
84,Solarium Green Energy,SOLARISGR,BSE SME,BSE SME,Energy,Solar EPC,Rooftop Solar,Yes,38.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
85,Gautam Solar,GAUTSOL,BSE SME,BSE SME,Energy,Solar Modules,Solar Mfg,Yes,28.5,150,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
86,Insolation Energy,INSOLATION,BSE SME,BSE SME,Energy,Solar,Renewable Energy,Yes,22.0,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
87,Apar Industries,APAR,NSE Emerge,NSE Emerge,Energy,Cables & Conductors,Power Transmission,Yes,1850.0,9500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
88,Urja Global,URJAGLOBAL,BSE SME,BSE SME,Energy,EV & Solar,Clean Mobility,Yes,15.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
89,Greenpanel Industries,GREENPANEL,NSE Emerge,NSE Emerge,Energy,Wood Panels,Green Building,Yes,380.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
90,Amplus Solar,AMPLUS,BSE SME,BSE SME,Energy,Solar IPP,C&I Solar,Yes,480.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
91,KPI Green Energy,KPIGREEN2,BSE SME,BSE SME,Energy,Solar Power,IPP Solar,Yes,320.0,680,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
92,Om Infra,OMINFRA,NSE Emerge,NSE Emerge,Energy,Hydro EPC,Water Energy,Yes,185.0,450,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
93,Torrent Power,TORNTPOW,NSE Emerge,NSE Emerge,Energy,Integrated Power,Distribution,Yes,8500.0,22000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
94,REIL (Rajasthan Electronics),REIL,BSE SME,BSE SME,Energy,Solar Mfg (PSU),Solar Equipment,No,0.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
95,Swelect Energy Systems,SWELECT,NSE Emerge,NSE Emerge,Energy,Solar Inverters,Solar Power Systems,Yes,95.0,680,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
96,Ujaas Energy,UJAAS,NSE Emerge,NSE Emerge,Energy,Solar EPC,Utility Solar,Yes,145.0,320,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
97,Gopal Snacks,GOPAL,NSE Emerge,NSE Emerge,Consumer,Snacks & FMCG,Food Products,Yes,95.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
98,Anmol Industries,ANMOLIND,BSE SME,BSE SME,Consumer,Confectionery,Biscuits & Snacks,Yes,45.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
99,Bikaji Foods International,BIKAJI,NSE Emerge,NSE Emerge,Consumer,Ethnic Snacks,FMCG,Yes,85.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
100,Cello World,CELLO,NSE Emerge,NSE Emerge,Consumer,Plastic Products,Household Products,Yes,180.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
101,Baazar Style Retail,BAAZAR,NSE Emerge,NSE Emerge,Consumer,Value Retail,Mass Fashion,Yes,145.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
102,Global Pet Industries,GLOBALP,BSE SME,BSE SME,Consumer,Pet Products,Pet Care,Yes,12.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
103,Vahan.com,VAHAN,BSE SME,BSE SME,Consumer,Online Retail,E-Commerce,No,0.0,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
104,Ruchi Soya Industries,RUCHISOYA,NSE Emerge,NSE Emerge,Consumer,Edible Oils,FMCG Foods,Yes,1200.0,14500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
105,Sugarmill Industries,SUGARMIL,BSE SME,BSE SME,Consumer,Sugar,Food Processing,Yes,85.0,145,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
106,Garden Reach Shipbuilders,GRSE,NSE Emerge,NSE Emerge,Consumer,Defense Shipbuilding,Defense,Yes,350.0,9500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
107,Kama Holdings,KAMA,NSE Emerge,NSE Emerge,Consumer,Chemicals,Specialty Consumer,Yes,45.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
108,Credo Brands (Mufti),MUFTI,NSE Emerge,NSE Emerge,Consumer,Apparel,Fashion Retail,Yes,35.5,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
109,GNG Electronics,GNG,BSE SME,BSE SME,Consumer,Electronics Retail,Consumer Electronics,Yes,28.0,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
110,Doms Industries,DOMS,NSE Emerge,NSE Emerge,Consumer,Stationery,Art & Stationery,Yes,180.0,7500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
111,Park Hotels,PARKHOTEL,BSE SME,BSE SME,Consumer,Hospitality,Hotel,Yes,95.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
112,Praxis Home Retail,PRAXIS,BSE SME,BSE SME,Consumer,Home Retail,Home Furnishing,Yes,65.0,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
113,Sapphire Foods India,SAPPHIRE,NSE Emerge,NSE Emerge,Consumer,QSR,Fast Food Chain,Yes,380.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
114,Devyani International,DEVYANI,NSE Emerge,NSE Emerge,Consumer,QSR,Yum Brands India,Yes,1200.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
115,Shivangi Cotspin,SHIVANGI,BSE SME,BSE SME,Textiles,Cotton Yarn,Spinning,Yes,38.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
116,Vinny Overseas,VINNY,BSE SME,BSE SME,Textiles,Garments,Apparel Export,Yes,22.0,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
117,Welspun India,WELSPUNIND,NSE Emerge,NSE Emerge,Textiles,Home Textiles,Terry Towels,Yes,1450.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
118,Gokaldas Exports,GOKALDAS,NSE Emerge,NSE Emerge,Textiles,Garment Export,Apparel Mfg,Yes,220.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
119,Nitin Spinners,NITINSPIN,NSE Emerge,NSE Emerge,Textiles,Cotton Yarn,Spinning,Yes,380.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
120,Vardhman Textiles,VTL,NSE Emerge,NSE Emerge,Textiles,Integrated Textiles,Yarn & Fabric,Yes,1850.0,9500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
121,KPR Mill,KPRMILL,NSE Emerge,NSE Emerge,Textiles,Integrated Textile,Garment & Yarn,Yes,650.0,7500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
122,Indo Rama Synthetics,INDORAMA,BSE SME,BSE SME,Textiles,Polyester Yarn,Synthetic Fibre,Yes,485.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
123,Shahi Exports,SHAHI,BSE SME,BSE SME,Textiles,Garments,Apparel Manufacturing,Yes,180.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
124,Filatex India,FILATEX,NSE Emerge,NSE Emerge,Textiles,POY/FDY,Polyester Yarn,Yes,285.0,750,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
125,SEG (Starlite Engg),STARLITE,BSE SME,BSE SME,Textiles,Technical Textiles,Industrial Fabric,Yes,28.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
126,Nandan Denim,NANDANDEM,NSE Emerge,NSE Emerge,Textiles,Denim Fabric,Denim Mfg,Yes,320.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
127,Shivalik Bimetal Controls,SHIVALIKBI,NSE Emerge,NSE Emerge,Textiles,Bimetal Products,Specialty Materials,Yes,45.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
